id,optionid,productid,catalogid,featurecaption,featurecaption_id,featuretype,featurerequired,sorting,featureid,featurename,featureprice,sorting,partnumber,imagepath,selected,hidden,optcatalogid,qty
100,3353,B21,10,Pull Out Trash Can Option,,Dropdown,0,5,15337,Add Pull Out Trash Can,210,0,TRSH21,,0,0,0,1
101,3354,B21,10,Roll Out Tray Option,,Dropdown,0,6,15338,Add Roll Out Tray To B21,50,1,ROTB21,,0,0,0,1
102,3354,B21,10,Roll Out Tray Option,,Dropdown,0,6,28801,Add 2 Roll Out Trays To B21,100,2,ROTB212,,0,0,0,1
103,3354,B21,10,Roll Out Tray Option,,Dropdown,0,6,32955,Do Not Add Roll Out Tray To B21,0,0,DNART,,0,0,0,1
104,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32956,French Vanilla Deluxe With Charcoal Glaze Price Includes Assembly,120,20,FVCHG,assets/images/JobPics/fv_choc.jpg,0,0,0,1
105,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32957,French Vanilla Deluxe With Chocolate Glaze Price Includes Assembly,120,20,FVCHG,assets/images/JobPics/fv_choc.jpg,0,0,0,1
106,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32958,French Vanilla Deluxe With Pewter Glaze Price Includes Assembly,120,19,FVPG,assets/images/JobPics/fv_pwtr_copy.jpg,0,0,0,1
107,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32959,French Vanilla Deluxe With Harvest Glaze Including Assembly,120,18,FVHG,assets/images/JobPics/fv_hvst_copy.jpg,0,0,0,1
108,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32960,Black Distressed Ginger Price Includes Assembly,135,10,BDSTR-FG,assets/images/JobPics/blk_dst_copy.jpg,0,0,0,1
109,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32961,Ginger Vandyke Distressed Price Includes Assembly,135,12,GDVD,assets/images/JobPics/gngr_vndyk_copy.jpg,0,0,0,1
110,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32962,Mocha Deluxe Vandyke Distressed Price Includes Assembly,135,14,MDVD,assets/images/JobPics/mk_vndyk_copy.jpg,0,0,0,1
111,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32963,French Vanilla Deluxe Vandyke Distressing Price Includes Assembly,135,16,FVVD,assets/images/JobPics/pl-1286913660B_FranklinFrenchVanilla_VanDykeDistressed1.jpg,0,0,0,1
112,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32964,Standard Black Finish Price Includes Assembly,95,9,SBF,assets/images/JobPics/pt-1287676745B_Plain_Black1.jpg,0,0,0,1
113,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32965,Ginger Vandyke Rub Finish Includes Assembly,120,13,GVD,assets/images/JobPics/pt-1286915389B_FranklinGinger_VanDykeRubbed1.jpg,0,0,0,1
114,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32966,Mocha Deluxe Vandyke Rub Includes Assembly,120,15,MVD,assets/images/JobPics/pt-1286917400B_FranklinMocha_VanDykeRubbed1.jpg,0,0,0,1
115,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32967,Mocha Deluxe,0,3,MD,assets/images/JobPics/Mocha.jpg,0,0,0,1
116,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32968,Ginger Deluxe,0,4,GD,assets/images/JobPics/Ginger.jpg,0,0,0,1
117,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32969,French Vanilla Deluxe,0,6,FV,assets/images/French Vanilla Deluxe.jpg,0,0,0,1
118,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32970,Brandywine Shaker,0,1,BS,assets/images/JobPics/Brandywine_Shaker.jpg,0,0,0,1
119,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32971,White Shaker,0,0,WS,assets/images/WhiteShaker.jpg,0,0,0,1
120,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32972,Harvest Deluxe,0,5,HD,assets/images/JobPics/Ginger_HarvestStain.jpg,0,0,0,1
121,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32973,Teaberry Price Includes Assembly,95,8,TEAB-ST,assets/images/Teaberry.jpg,0,0,0,1
122,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32974,Black Distressed Mocha Price Includes Assembly,135,11,BDSTR-FM,assets/images/blk_dst_copy.jpg,0,0,0,1
123,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32975,White Deluxe Chocolate Glaze,0,7,WDCG,assets/images/WhiteChocolatePen.jpg,0,0,0,1
124,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32976,Black Shaker Price Includes Assembly,95,2,BSS,assets/images/Germantown Black.jpg,0,0,0,1
125,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32977,Dark Grey Shaker Price Includes Assembly,95,2,GS,assets/images/CraftsmanDkGrey.jpg,0,0,0,1
126,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32978,Light Grey Shaker Price Includes Assembly,95,2,LGS,assets/images/CraftsmanLtGrey.jpg,0,0,0,1
127,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32979,Green Chocolate Glaze Price Includes Assembly,120,21,GCG,assets/images/Green Chocolate.jpg,0,0,0,1
128,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32980,White Deluxe Chocolate Mist,120,8,WDCM,assets/images/WhiteDeluxeChocolateMist.jpg,0,0,0,1
129,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32981,White Deluxe Charcoal Mist,120,8,WDCHM,assets/images/White Deluxe Chocolate Mist.jpg,0,0,0,1
130,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32982,White Deluxe Vandyke Distressed,135,8,WDVDD,assets/images/WhiteDeluxeSample.jpg,0,0,0,1
131,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32983,White Deluxe Without Glaze,95,8,WD,assets/images/French Vanilla Deluxe.jpg,0,0,0,1
132,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32984,Pecan With Black Glaze,120,12,PCBG,assets/images/PecanGlaze.jpg,0,0,0,1
133,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,32985,Pecan Distressed,135,12,PCDS,assets/images/PecanGlaze.jpg,0,0,0,1
134,5408,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33607,Espresso Shaker,95,2,ESP,assets/images/Door Colors/Germantown Expresso.jpg,0,0,0,1
135,5461,B21,10,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,33606,Espresso Shaker,100,1,ESP,assets/images/Door Colors/Germantown Expresso.jpg,0,0,0,1
136,1573,B24,11,Cabinet Assembly Options (Selection Required),,Dropdown,1,3,2626,Base / Wall Cabinet Assembly,30,2,ASSR,,0,0,0,1
137,1573,B24,11,Cabinet Assembly Options (Selection Required),,Dropdown,1,3,2627,Utility / Oven Cabinet Assembly,60,3,ASST,,0,0,0,1
138,1573,B24,11,Cabinet Assembly Options (Selection Required),,Dropdown,1,3,2628,No Assembly / Customer Will Assemble Upon Receipt,0,0,CAS,,0,0,0,1
139,1573,B24,11,Cabinet Assembly Options (Selection Required),,Dropdown,1,3,2629,Custom Finish Selected Which Includes Assembly,0,1,CFS,,0,0,0,1
140,1574,B24,11,Finished Side Panel Skins (Selection Required),,Dropdown,1,2,2630,Left Side Skin / Exposed Left Side,0,1,LSF,,0,0,0,1
141,1574,B24,11,Finished Side Panel Skins (Selection Required),,Dropdown,1,2,2631,Right Side Skin / Exposed Right Side,0,2,RSF,,0,0,0,1
142,1574,B24,11,Finished Side Panel Skins (Selection Required),,Dropdown,1,2,2632,No Side Finished / Cabinet Sides Not Exposed,0,0,NSF,,0,0,0,1
143,1574,B24,11,Finished Side Panel Skins (Selection Required),,Dropdown,1,2,2633,Both Side Panel Skins / Both Sides Exposed,0,3,BSF,,0,0,0,1
144,3066,B24,11,Hinge Direction (Assembled Cabinets Only),,Dropdown,0,4,13004,Hinge Left,0,0,HL,,0,0,0,1
145,3066,B24,11,Hinge Direction (Assembled Cabinets Only),,Dropdown,0,4,13005,Hinge Right,0,1,HR,,0,0,0,1
146,1572,B24,11,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,2609,French Vanilla Deluxe With Charcoal Glaze,130,8,FVCG,assets/images/JobPics/fv_chrkl_copy.jpg,0,0,0,1
147,1572,B24,11,Select Your Cabinet Color From Our Drop Down Menu,,DropImage,1,1,2610,French Vanilla Deluxe With Chocolate Glaze,130,5,FVCHG,assets/images/JobPics/fv_choc.jpg,0,0,0,1
