172,121,AW1230,AW1230 (Universal Left or Right Side Angle),30,12,12
173,122,AW1236,AW1236  (Universal Left or Right Side Angle),36,12,12
174,306,AW1242,"AW1242 - Universal Left or Right Side Angle Wall Cabinet 12"" x 42""",42,12,12
175,299,BAT,"BAT - Batten Molding 3/4"" x 96""",0,0,0
176,216,BBP4896.25,"BBP4896.25 Beaded Paneling 48""W x 96""L x .25"" Thick",96,48,0
177,777,BFH48,BFH48,36,48,4
178,778,BFH45,BFH45,36,45,4
179,779,BFH42,BFH42,36,45,4
180,780,BFH39,BFH39,36,39,4
181,297,BML,"BML - Base Molding 6"" x 96""",0,0,0
182,759,WCF4.542,"4.5"" Wall Box Column Filler 4.5""W x 42""T x 18""D",42,4,18
183,760,BCF4.536,"4.5"" Base Box Column Filler 4.5""W x 36""T x 27""D",36,4,27
184,761,BCF336,"3"" Base Box Column Filler - 3""W x 36""T x 27""D",36,3,27
185,762,BCF636,"6"" Base Box Column Filler - 6""W x 36""T x 27""D",36,6,27
186,763,WCF342,"3""  Wall Box Column Filler 3""W x 42""T x 18""D",42,3,18
187,764,WCF642,"6""  Wall Box Column Filler - 6""W x 42""T x 18""D",42,6,18
188,765,TCF396,"3""  Tall Box Column Filler - 3""W x 96""T x 27""D",96,3,27
189,766,TCF4.596,"4.5""  Tall Box Column Filler 4.5""W x 96""T x 27""D",96,4,27
190,767,TCF696,"6""  Tall Box Column Filler - 6""W x 96""T x 27""D",96,6,27
191,768,HCF348,"3"" Hood Box Column Filler 3""W x 48""T x 24""D",48,3,24
192,770,HCF4.548,"4.5""  Hood Box Column Filler - 4.5""W x 48""T x 24""D",48,4,24
193,771,HCF648,"6""  Hood Box Column Filler - 6""W x 48""T x 24""D",48,6,24
194,622,613-8,Vienna 2 Cabinet Pulls,0,0,0
195,289,CCM,"CCM - Classic Crown Molding 4.25""Wide x 3""Up x 3""Out x 96""Long ",96,4,4
196,290,CFM,"CFM - Cabinet Face Molding/Light Rail 3/4""T x 1.5""W x 96""",0,0,0
197,396,CH42,CH42 Pre Finished Maple Chimney Hood 42 Wide,42,42,24
198,668,CH36,CH36 Pre Finished Maple Chimney Hood ,42,36,24
199,669,CH48,CH48 Pre Finished Maple Chimney Hood,42,48,24
200,288,CM8,"CM8 Crown Molding 4.25""Wide x 3""Up x 3""Out x 96""Long",3,3,96
201,798,CRM96,Reeded Column Molding Half Round,96,3,3
202,296,CBM,"CBM - Colonial Base Molding 4.5"" x 96""",0,0,0
203,713,RVCWDS,DROP-IN COOKWARE DRAWER ORGANIZER,0,0,0
204,715,CWOG,Chrome Cook Ware Organizer,10,33,22
205,317,GBBWC,Grape Bar Bracket Wood Corbel ,0,0,0
206,318,GWC,Grape Wood Corbel ,0,0,0
207,314,ACWC,Acanthus Wood Corbel,0,0,0
208,372,ACWBBC,Acanthus Wood Bar Bracket Corbel,0,0,0
209,315,ACWCL,Large Acanthus Wood Corbel ,0,0,0
210,316,ACWCW,Wide Acanthus Wood Corbel ,0,0,0
211,312,TRDCL,CORB_TRDL Traditional Large Corbel ,0,0,0
212,310,CORN-1,Low Profile Traditional Corbel,2,3,10
213,311,TRDCB,CORB-TRD Traditional Corbel ,0,0,0
214,184,TVDB12,TVDB12,34,12,21
215,185,TVDB15,TVDB15,34,15,21
216,186,TVDB18,TVDB18,34,18,21
217,187,TVDB21,TVDB21,34,21,21
218,188,TVDB24,TVDB24,34,24,21
219,201,VDB12,VDB12,31,12,21
220,202,VDB15,VDB15,31,15,21
221,46,DFD18,DFD18,28,18,21
222,292,DM,"DM - Dentil Molding 3/4"" x 96""",0,0,0
223,558,BDSTR-FM,Black Distressed With Mocha Under Tone Door Sample,17,11,2
224,672,BDSTR-FG,Black Distressed With Ginger Under Tone Door Sample,17,11,2
225,389,BSSD,Brandywine Shaker Sample Door,0,0,0
226,726,BSHAKER,Black Shaker Door Sample,17,11,1
227,748,DGSHAKER,Dark Grey Shaker Door Sample,17,11,1
228,747,LGSHAKER,Light Grey Shaker Door Sample,17,11,1
229,774,DGDDS,Dark Gray Deluxe Door Sample,0,0,0
230,773,WDNGDS,White Deluxe Without Glaze Door Sample,0,0,0
231,776,ESPSDS,Espresso Shaker Door Sample,0,0,0
232,323,GDDS,Ginger Deluxe Door Sample,0,0,0
233,555,HARVST,Harvest Deluxe Door Sample,17,11,1
234,789,GRNCM,Green Deluxe Chocolate Mist,1,11,11
235,775,Light Gray Deluxe,Light Gray Deluxe Door Sample,0,0,0
236,304,MDSD,Mocha Deluxe Door Sample,0,0,0
237,735,PCBM,Pecan Deluxe Charcoal Mist,0,0,0
238,753,FWCHRM,White Deluxe Charcoal Mist Door Sample,0,0,0
239,734,FWCM,White Deluxe Chocolate Mist Door Sample,0,0,0
240,733,FWDDS,White Deluxe Vandyke Distressed Door Sample,0,0,0
241,725,WDCGSD,White Deluxe Chocolate Glaze Door Sample,17,11,1
242,692,WSHAKER,White Shaker Door Sample,17,11,1
243,111,DW2430,DW2430,30,24,12
244,112,DW2730,DW2730,30,27,15
245,113,DW2436,DW2436,36,24,12
246,114,DW2736,DW2736,36,27,15
247,115,DW2442,DW2442,42,24,12
248,116,DW2742,DW2742,42,27,15
249,791,DW2424,DW2424,30,24,12
250,796,DW2718,DW2718,18,27,27
251,797,DW2418,DW2418,18,24,15
252,294,EGDM,"EGDM - Egg & Dart Molding 5/8"" x 96""",0,0,0
253,215,FBP4896.25,"FBP4896.25 Finished Plywood 48""W x 96""L x .25"" Thick",96,48,2
254,385,FBP48965,"FBP4896.50 Finished Plywood 48""W x 96""L x .5"" Thick",96,48,2
255,386,FBP4896.75,"FBP4896.75 Finished Plywood 48""W x 96""L x .75"" Thick",96,48,2
